,Date,BottomHolePressure (BARa),SandfacePressureRef|BottomHolePressureRef (BARa),DrainageRegionPressureRef|DrainageRegionPressure (BARa),LiquidProductivityIndex (Sm3/day/bar),GasProductivityIndex (Sm3/day/bar),ProductivityIndexResCond (Rm3/day/bar),WellIndexResCond (Rm3/day/bar),BottomHoleTemperature (deg C),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),HallIntegral (Bar.d),HallVoidageDerivative (Bar.d),HallWaterDerivative (Bar.d),HallGasDerivative (Bar.d),WaterBreakthroughTime (days),GasBreakthroughTime (days),TransitTime (days),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),NPV (MMUS$),
I1,12.07.1997 16:48:00,341.316,343.305,273.047,42.6978,0,42.6966,205.555,60,2999.86,2999.86,0,0,1487.81,1487.81,0,0,0,0,0,0,35048,38900.8,38900.9,0,533.966,1e+06,907.933,0,0,0,0,1.67602e+06,1.67602e+06,0,0,5.64155e+11,2999.99,3000,1.6761e+06,-9.80945,
I1,22.07.1997 16:48:00,341.298,343.294,272.901,42.6161,0,42.6149,206.819,60,2999.86,2999.86,0,0,1496.03,1496.03,0,0,0,0,0,0,35751.9,39679.3,39679.3,0,556.479,1e+06,908.589,0,0,0,0,1.70602e+06,1.70602e+06,0,0,5.74299e+11,2999.99,3000,1.7061e+06,-9.97232,
I1,01.08.1997 16:48:00,341.511,343.515,272.829,42.4388,0,42.4377,203.696,60,2999.86,2999.86,0,0,1481.12,1481.12,0,0,0,0,0,0,36458.8,40551.9,40552,0,520.819,1e+06,910.926,0,0,0,0,1.73602e+06,1.73602e+06,0,0,5.84433e+11,2999.99,3000,1.7361e+06,-10.1348,
I1,11.08.1997 16:48:00,341.687,343.698,273.047,42.4599,0,42.4588,208.621,60,2999.86,2999.86,0,0,1512.68,1512.68,0,0,0,0,0,0,37165.3,41238.3,41238.4,0,536.965,1e+06,910.033,0,0,0,0,1.76602e+06,1.76602e+06,0,0,5.94591e+11,2999.99,3000,1.7661e+06,-10.2968,
I1,21.08.1997 16:48:00,341.971,343.99,272.839,42.1619,0,42.1608,199.514,60,2999.86,2999.86,0,0,1471.74,1471.74,0,0,0,0,0,0,37876.8,42241.3,42241.4,0,537.945,1e+06,903.65,0,0,0,0,1.79602e+06,1.79602e+06,0,0,6.0472e+11,2999.99,3000,1.7961e+06,-10.4584,
I1,31.08.1997 16:48:00,342.053,344.08,272.846,42.1129,0,42.1118,201.185,60,2999.86,2999.86,0,0,1482.64,1482.64,0,0,0,0,0,0,38589.1,43002.8,43002.9,0,516.809,1e+06,902.666,0,0,0,0,1.82601e+06,1.82601e+06,0,0,6.14857e+11,2999.99,3000,1.8261e+06,-10.6196,
I1,10.09.1997 16:48:00,342.134,344.17,272.831,42.0509,0,42.0498,202.306,60,2999.86,2999.86,0,0,1489.84,1489.84,0,0,0,0,0,0,39302.5,43779.6,43779.7,0,518.758,1e+06,904.176,0,0,0,0,1.85601e+06,1.85601e+06,0,0,6.24995e+11,2999.99,3000,1.8561e+06,-10.7804,
I1,20.09.1997 16:48:00,342.142,344.185,272.683,41.9548,0,41.9536,202.393,60,2999.86,2999.86,0,0,1490.6,1490.6,0,0,0,0,0,0,40017.6,44595,44595,0,518.687,1e+06,904.227,0,0,0,0,1.88601e+06,1.88601e+06,0,0,6.35132e+11,2999.99,3000,1.8861e+06,-10.9407,
I1,30.09.1997 16:48:00,342.177,344.228,272.584,41.8718,0,41.8706,202.405,60,2999.86,2999.86,0,0,1490.71,1490.71,0,0,0,0,0,0,40734,45399.9,45399.9,0,487.193,1e+06,897.184,0,0,0,0,1.91601e+06,1.91601e+06,0,0,6.45268e+11,2999.99,3000,1.9161e+06,-11.1006,
I1,10.10.1997 16:48:00,342.035,344.094,272.287,41.7766,0,41.7754,202.41,60,2999.86,2999.86,0,0,1490.74,1490.74,0,0,0,0,0,0,41452.1,46221.4,46221.4,0,499.922,1e+06,895.343,0,0,0,0,1.94601e+06,1.94601e+06,0,0,6.55404e+11,2999.99,3000,1.9461e+06,-11.2601,
I1,20.10.1997 16:48:00,341.959,344.027,272.079,41.6952,0,41.694,202.411,60,2999.86,2999.86,0,0,1490.67,1490.67,0,0,0,0,0,0,42171.5,47031.1,47031.2,0,499.725,1e+06,897.676,0,0,0,0,1.97601e+06,1.97601e+06,0,0,6.6554e+11,2999.99,3000,1.9761e+06,-11.4192,
I1,30.10.1997 16:48:00,342.032,344.107,272.023,41.6157,0,41.6146,202.412,60,2999.86,2999.86,0,0,1490.64,1490.64,0,0,0,0,0,0,42892.4,47841.8,47841.8,0,482.777,1e+06,899.355,0,0,0,0,2.006e+06,2.006e+06,0,0,6.75677e+11,2999.99,3000,2.0061e+06,-11.5779,
I1,09.11.1997 16:48:00,341.917,344.001,271.772,41.5328,0,41.5317,202.415,60,2999.86,2999.86,0,0,1490.68,1490.68,0,0,0,0,0,0,43614.7,48659.6,48659.6,0,463.204,1e+06,888.158,0,0,0,0,2.036e+06,2.036e+06,0,0,6.85813e+11,2999.99,3000,2.0361e+06,-11.7362,
I1,19.11.1997 16:48:00,341.859,343.95,271.611,41.4693,0,41.4681,202.416,60,2999.86,2999.86,0,0,1490.63,1490.63,0,0,0,0,0,0,44338.1,49457.5,49457.6,0,480.771,1e+06,889.735,0,0,0,0,2.066e+06,2.066e+06,0,0,6.95949e+11,2999.99,3000,2.0661e+06,-11.894,
I1,29.11.1997 16:48:00,341.789,343.888,271.316,41.3361,0,41.335,200.567,60,2999.86,2999.86,0,0,1480.8,1480.8,0,0,0,0,0,0,45063.8,50342.6,50342.6,0,480.325,1e+06,891.687,0,0,0,0,2.096e+06,2.096e+06,0,0,7.06088e+11,2999.99,3000,2.0961e+06,-12.0515,
